0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5700000000,6000000000,2902878580,2294,336037285,0.009018,0.02005,0.02689,0.007858,0.02069,0.02045,0.00798,3.719e-05,0.07703,0.07056,2.348,0.006336,0,1
5700000000,6000000000,2902878580,2295,2522164774,0.01344,0.02121,0.02689,0.011,0.02386,0.02139,0.05133,3.719e-05,0.07324,0.1249,2.611,0.005726,0,1
5700000000,6000000000,2902878580,2296,336058716,0.00853,0.01999,0.02698,0.009872,0.02277,0.02014,0.00705,3.719e-05,0.05566,0.07556,2.165,0.005606,0,1
5700000000,6000000000,2902878580,2297,381364,0.01389,0.02036,0.02692,0.008987,0.02182,0.02112,0.05688,3.815e-05,0.07471,0.1287,2.534,0.005477,0,1
5700000000,6000000000,2902878580,2298,1093972,0.009476,0.01859,0.02505,0.007133,0.02002,0.01895,0.005791,3.624e-05,0.0741,0.04492,2.286,0.004554,0,1
5700000000,6000000000,2902878580,2299,6648753,0.01248,0.02148,0.02692,0.009949,0.02283,0.02161,0.03735,3.624e-05,0.08179,0.126,2.967,0.007177,0,1
5700000000,6000000000,2902878580,2300,6639218,0.009445,0.0192,0.02509,0.009766,0.02161,0.02106,0.004082,3.719e-05,0.07971,0.03467,2.507,0.005593,0,1
5700000000,6000000000,2902878580,2301,4470022634,0.0105,0.02023,0.02704,0.008972,0.02185,0.02042,0.006363,3.624e-05,0.07385,0.03442,2.466,0.00529,0,1
5700000000,6000000000,2902878580,2302,1095263,0.008743,0.01755,0.02353,0.004189,0.01706,0.01776,0.006004,3.719e-05,0.08972,0.03888,2.443,0.00548,0,1
5700000000,6000000000,2902878580,2303,294871456,0.009888,0.01981,0.02505,0.009705,0.02258,0.01996,0.005775,3.624e-05,0.08325,0.04962,2.451,0.005684,0,1
5700000000,6000000000,2902878580,2304,2056942732,0.01222,0.01865,0.0249,0.006775,0.01962,0.01883,0.005981,3.624e-05,0.07349,0.03217,2.631,0.006019,0,1
5700000000,6000000000,2902878580,2305,8055065,0.01262,0.02002,0.02689,0.007935,0.02081,0.02014,0.02731,3.624e-05,0.09497,0.1101,3.035,0.007445,0,1
5700000000,6000000000,2902878580,2306,336023594,0.01239,0.01935,0.02502,0.008621,0.02148,0.01968,0.01497,3.719e-05,0.08496,0.08459,2.083,0.00457,0,1
5700000000,6000000000,2902878580,2307,2055713633,0.01089,0.02032,0.02695,0.009964,0.0228,0.02054,0.007538,3.624e-05,0.1006,0.04053,2.379,0.005258,0,1
5700000000,6000000000,2902878580,2308,711479,0.01343,0.01898,0.02499,0.008347,0.02124,0.01913,0.02478,3.815e-05,0.07739,0.09155,2.869,0.007389,0,1
5700000000,6000000000,2902878580,2309,638347,0.01054,0.02048,0.02704,0.01135,0.02426,0.02118,0.007607,3.719e-05,0.06836,0.05566,2.319,0.004611,0,1
5700000000,6000000000,2902878580,2310,486958,0.01256,0.01715,0.02304,0.005325,0.01816,0.01724,0.01587,3.719e-05,0.114,0.08069,2.6,0.005495,0,1
5700000000,6000000000,2902878580,2311,1602413149,0.01404,0.01859,0.02496,0.007919,0.02081,0.01877,0.03851,3.719e-05,0.07324,0.1226,2.582,0.006008,0,1
5700000000,6000000000,2902878580,2312,337866550,0.01712,0.01785,0.02307,0.003799,0.01666,0.01807,0.03986,3.624e-05,0.08386,0.1309,2.695,0.006406,0,1
5700000000,6000000000,2902878580,2313,7753126,0.008698,0.01843,0.02707,0.008789,0.02167,0.01859,0.005501,3.719e-05,0.05945,0.04517,2.51,0.005312,0,1
5700000000,6000000000,2902878580,2314,431791373,0.01485,0.01895,0.02493,0.006241,0.01889,0.02042,0.03662,3.719e-05,0.09973,0.1163,2.728,0.006208,0,1
5700000000,6000000000,2902878580,2315,422090,0.01036,0.02029,0.02695,0.009888,0.02271,0.02042,0.007446,3.719e-05,0.06494,0.03271,2.134,0.003892,0,1
5700000000,6000000000,2902878580,2316,3631267648,0.01022,0.02277,0.0257,0.009537,0.02243,0.02319,0.009872,3.624e-05,0.06946,0.08118,2.382,0.009441,0,1
5700000000,6000000000,2902878580,2317,336032772,0.009399,0.01968,0.02509,0.00975,0.02258,0.01993,0.008713,3.719e-05,0.09607,0.06049,1.889,0.00359,0,1
5700000000,6000000000,2902878580,2318,631942,0.009445,0.02045,0.02698,0.009689,0.02258,0.0206,0.008987,3.719e-05,0.06995,0.04376,2.179,0.004421,0,1
5700000000,6000000000,2902878580,2319,63703114,0.01457,0.02087,0.02695,0.009018,0.02191,0.02136,0.01648,3.624e-05,0.08594,0.1019,2.438,0.005541,0,1
